Account Number,Name,Balance,Account Type
42186487,Shahad Shaheen ,1243,Savings Account
91038655,Alice Johnson,1000,Savings Account
20307655,Bob Smith,2000,Current Account
70562274,Charlie Brown,1500,Savings Account
32300631,David Williams,1800,Current Account
79570981,Eve Davis,2200,Savings Account
48903983,Frank Miller,2500,Current Account
23071895,Grace Wilson,3000,Savings Account
90201370,Hannah Moore,1200,Current Account
36171681,Ivy Taylor,1400,Savings Account
85674831,Jack Anderson,1600,Current Account
93964460,Kathy Thomas,1900,Savings Account
61605882,Liam White,2100,Current Account
19149099,Mona Hall,2400,Savings Account
26967913,Nate Allen,2600,Current Account
45506510,Olivia King,2800,Savings Account
